recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,written_during_early_access,comment_count,steam_purchase,received_for_free
222267539,english,"TLDR: If you enjoyed Divinity or any of the other games like it, this is a home run and despite some changes to the mechanics, manages to be a bright, shining light among the crowd.

After thoroughly enjoying the first Divinity game as a two-player experience at home, it was time to expand things online with all my friends. Larian Studios have really shined with Divinity and it continues with Divinity II, which is pretty much bigger and better in about ever sense of the word - and not just in size, but in quality. And while some of the changes may not necessarily be for the better - nothing was broken along the way and the scope of the story, characters and the world has been greatly expanded making up for any questionable mechanics in my eyes.

Looks and Stuff: It's not that the first game looked bad - it was just a bit rough around the edges. Divinity II smooths all those edges out and presents a truly and fully fleshed-out game, both in environments, enemies and characters. But the visuals aren't the only thing improved, with a truly impressive vocal cast and a sweeping score to go along with the action. If you want an immersive experience, this is the perfect game to get lost in - even moreso than something like Witcher 3 or Skyrim - and that in of itself is an impressive result.

Story: Epic in every sense of the world - the game takes place in the same world, Rivellon, as the first, but we fast forward quite a bit. In this future time, our Divine Order finds itself rather adrift after the death of Lucian the Divine (kind of like the pope - but with more direct contact with the gods) and the rather underwhelming replacement who is trying to hold things together. To make matters worse, it seems that people who can harness Source (aka magic) are suddenly attracting creatures known as Voidwoken - who tend to kill everyone in sight when they appear. Thus sourcerers of all stripes are being rounded up and taken to Fort Joy (aka magic prison island), fitted with source-cancelling collars and kept under a tight watch by the Magisters. The rather robust introduction lets you take on the role of one of the six origin characters (each with their own in-depth story) or you can create your own from a variety of options including races and whether or not you want to be undead or not. Then it throws you on a ship bound for Fort Joy and lets you explore the myriad mechanics of the game you will be spending the better part of a year playing.

Fort Joy itself is really just an extension of the introduction - and it can be a bit overwhelming at first to realize this huge starting area is just a really long tutorial. You soon learn that your (chosen) characters is one of a handful of Godwoken - that is, an analog to one of the gods in the Rivellon pantheon and can ascend to the Divine if they so choose. Of course, this means escaping Fort Joy, figuring out the issue with the Voidwoken, confronting the current Divine Order and all manner of side quests along the way. In addition, the six origin characters each have their own stories - from dealing with a demonic entity in their head to confronting many shadows of their past - and while you don't have to play as each of the characters to explore their stories (single player can control up to four - if they don't royally piss them off), it provides plenty of incentive for replay.

Gameplay: As in the first game, the large world is presented in a top-down perspective with the ability to wander as you will - talk to every person (and animal, if you have the right perk), take everything in sight (though stealing will get you in trouble) and kill anyone you feel like. Many characters will give you various side-quests and it is advisable to do as many as you can because, as in the first game, enemies are finite and if you will need every drop of XP you can get to improve your stats or you can get in a pickle with later battles. Speaking of stats, you have many - base stats like strength (tank's favorite), finesse (archer's delight), constitution (hp for the win) intelligence (better magics), memory (learn more skills across the board) and wits (spotting secrets, going first in battle and hitting harder). You can also choose from a wide variety of preset classes that let you really dig deep into how you want to play the game. On top of that, civic points let you be a thief, a persuasion machine or identify items. Usually you want to focus on just a couple of these for the best results. Finally you have the rarer talents - including the likes of Pet Pal (talk to animals), Opportunist (attacks of opportunity) and Leech (heal while standing in blood). Talents can both affect combat and the game in general and offer a wide array of combinations to try out.

If you played the first game, combat is going to feel a lot different this time around. That is because the game has decided Physical and Magic armor are now separate things - you have to whittle one or the other down (using physical or magical attacks) before actually doing any real damage. In addition until that bar is consumed, your physical and magic abilities will also not take affect (thus things like knockdown or elemental affects are null and voided). This mechanic does take getting used to and it also seems to nerf some of the best attacks from the first game. Likewise, your own character has their own bar based on the equipment they have on and often you must balance things out because going full physical or magic is recipe for disaster in the long run. That also means your character builds must be taken into account as you must strike a balance with magic, unfortunately, proving somewhat underwhelming compared to a full-on physical assault.

Replay value: Off the charts, provided you want to sink several hundred hours into this world more than once.

Presentation: 5/5
Story: 5/5
Gameplay: 4/5
Replay: 5/5
Overall (not an average): 4.5/5",1775065349,1775065349,True,2,0,0.523809552192687988,False,0,True,False
222093925,english,"I love turn based games, and this is one of the better ones. I'd happily play this again.",1774870041,1774870041,True,1,0,0.52173912525177002,False,0,True,False
221589673,english,"Bought this after the new divinity game was announced. Not disappointed in the purchase at all, especially when available on massive discounts. Great game if you're into turn based RPGs focused on story and worldbuilding.",1774369773,1774369773,True,1,0,0.52173912525177002,False,0,True,False
222880891,english,"I'm an oldschool RPG nerd and this hit Every checkbox for me.  The writing is great, the combat is fun and engaging, Larian have built a gorgeous world to explore.  If you are an RPG fan or getting into them, Please play this, you won't regret it.",1775747073,1775747073,True,1,0,0.517241418361663818,False,0,True,False
221948673,english,"This is a game I thought I was going to love, but honestly, I think it is pure garbage. After 6 hours, I've already dropped it after reading that it won't really get any better after Fort Joy. I know I've played it for a very short time, but I can't take it anymore.

1. The tone is super weird for an RPG - quirky, sarcastic, and humorous while trying to have a serious background. It wouldn't be a problem if these quirks were sporadic, but almost every character talks like they were written by a stupid Millennial. It makes me not want to take the story seriously AT ALL, and a compelling story and world are what make me want to keep playing an RPG. What are the stakes? What happens if I fail? What happens if I succeed? Do I care if everyone in this world dies or not? This is a rare breed of game where I don't even care about causing havoc because I think the setting itself is dull.

2. It is a game with tons of (usually pointless) dialogue, but once I realized that the walls of text are just white noise, I stopped caring. In games like Mass Effect and New Vegas, for instance, what you say actually makes a difference, and you can avoid combat or provoke mass killings based solely on what you choose and your roleplaying, which seems to be the total opposite in Original Sin 2, where you'll always be dragged to a combat situation, whether you like it or not.

3. Despite being the most praised aspect of the game, the combat is boring as all hell, and this comes from a guy who enjoys turn-based combat. The system fails to explain how to properly engage in its mechanics, so you'll have to do a lot of trial-and-error and look it up online to learn how to properly play the damn thing. I am not the type of guy who'll invest my time trying to understand a complex game that I don't care about.

Overall, I think this is either a) an extremely overrated game, or b) a product that's designed for someone radically different than me. Either way, I don't think it is a compelling game, and definitely not worth the money.",1774726144,1774726144,False,8,2,0.524812221527099609,False,0,True,False
223150334,english,"The story is mediocre and it’s gameplay is highly questionable. First if you’re not min maxing the game you’re playing it wrong since all fights will take forever and you’ll die too often. You practically have to go in already knowing what build and how your going to build into it before you even start playing. Constitution being a trap stat is idiotic as all it does is up health, but once your shields are gone enemies just keep knocking you down or freezing you as the game is purely built around this armor/stunlock gimmick. Levels become quickly too few and far between as by the end of act 1 you should be about level 9, act 2 about 17 and by the end of the game around 21 despite being 4 acts and the last civil point is at 34. If your level 17 by the end of act 2 you should at least be level 34 by the end of act 4. Archers are way to strong in general as in 1 turn you will lose all your armor and half your health while your teammate kills enemies on the first turn. When I chose battlemage I expected, from the character model when choosing it, something like a mixture between fighter and wizard, but it’s not and what you choose is to go battle or mage pretty much just int based fighter or wizard at that point. If you aren’t going to actually DO anything with these classes then you might as well get rid of them as the three base classes should be fighter, archer and mage and everything else is just a form of mixture of them or unique. In my play through with friends, what I found is that splitting my points between both strength and int it caused me to be wildly under powered by fairly early act 2 and I quickly had to full path on int with enough strength to have good armor and unless I was gonna start going range I had to dump dual wield for two hand staff as only wands and staffs use int and staffs are the only melee int, while finesse has knives and javelins alongside bows and strength only has melee weapons where in DnD there are strength range and magic based melee and maybe maces, as a cleric’s iconic weapon is a mace, or a rapier could have been an answer for one handed int melee. Here me and one of my friends are dying as due to me dual wielding swords and him wanting to go full summoner meanwhile our other friend who went archer was killing guys in single turns. The summoner had to go wand and shield to survive and we found summoner isn’t that great later in the game as it kinda falls off, but theirs no way, besides selling random stuff or just stealing everything, to get back that money spent on those books and I really don’t want to play the STUPID STEAL EVERYTHING META. I WANT TO PLAY AS A NORMAL PERSON ACTUALLY TRYING TO OBTAIN THESE THINGS THROUGH PURCHASE, BUT NO THE GAME FEELS LIKE IT ACTIVELY DISCOURAGES SUCH PLAY FOR META GAMING GARBAGE. AT THAT POINT I MAY AS WELL JUST BE A MURDER HOBO. I want to enjoy this game, the first act was pretty good and I want a game that actually wants me to try things out, experiment and this almost gets there, but it drops it past allowing respecing your character as you have to purchase or steal books for those skills and this could have added respecing for the skill books. Add a point system that allows you to chose what skills you want, have memory be a cost per spell it’d be same thing anyways. If you really want you can even keep buying the book in the game, but everyone gets the skill as it makes no sense that a skill book disappears after use, again memory just becomes a point system for what skills you want. I know this would bog down the current skill book so my answer would be to have skills attached to a stat and then have stats tabbed in the skill book, I.E. necromancer tab or pyromancer or warfare. The answer for mixed ones would be a mixed/misc tab. You don’t just lose a recipe book when used and, while you can probably still make it without the book, you can still sell a recipe book after learning it and everyone learns the recipe so the same could be done to skill books. Act 2 has no sense of direction and lets you go until you hit a wall as enemies are too strong so you go a different path until again too strong and you keep doing that, feeling like you’re stumbling your way through the whole act. Don’t know what caused it, but I feel that nothing should cost durability as it’s just not a good system. Who ever programmed enemies to prioritize the rando person tied up and can’t move over the party is a brain dead idiot. Persuasion is highly confusing as I’ve read that all it does is lower the required amount of attribute to pass, but it doesn’t seem to actually do that and you just have to put points into persuade, also if it wouldn’t change the event outcome or that choice always fails no matter what then there is no point of that choice to exist. I feel that a few skills could just be folded into each other like bartering and persuasion or thievery and sneaking. Telekinesis is worthless unless you’re running a stupid, but kinda funny, build and if your running lucky charm you have to have lore master, unless you want to spend money on identifying items. Items that become your sole means of upgrading your character as it’s better than most you can buy or find, if your not building into special armor sets. Sets that are missable as most start in act 1 and if you don’t get it then you can’t complete it and thus it’s worthless beyond a short upgrade to what you had at the time. Same with character quests like the red prince's didn't continue past fort joy because we either missed a dreamer or it just bugged out when interacting with the princess. Persuasion is required on at least one character and you have to keep people away from things that may auto talk as it’ll chose whomever is closest and if it’s not your max persuasion then you’ll rarely be able to get through the dialogue, unless you have the specific backgrounds for other choices. I go in to a conversation and my persuasions are strength, finesse and con, but I build int so I can’t do any of them so we reload as we lost the fight anyway and my friend who went finesse goes in and they get strength, wits and int as theirs instead, even if this might be a race thing it’s annoying that it changed between us to have what we don’t build. The questing/journal sucks as the red flag barley indicates anything or don’t tell anything and the journal is of no help and some cases the flag stays despite quest completion or some are just bugged like checking the 4 heroes graves is supposed to start a fight, but it just didn’t. If you don’t realize you can just click your icon when stacking buffs then you might accidentally buff an enemy just because their large model overlaps yours or your allies. Also can you highlight the character when I hover over them on the turn bar? I want to know where they are over needing to hover over the character to know when their turn is. My friends have this issue where if they try to do spells too fast it’ll just have them move instead when they click. provoke is a coin flip on if it even works for you, but against you and you lose control of your character. The fight on bloodmoon island against the demon that can just suddenly possess someone is the epitome of what is wrong with the game and was what killed the game for me and my friends. Not even modding could save this game and I had to drop it. Even installing unleashed had issues like no mod settings so we could change things that were causing issues for us. Ultimately these problems compound and make a game that has some flaws, but could be fun into an aggravating and annoying mess as I can’t play how I want to, combat’s practically useless once you understand the gimmick, and most other aspects are poorly designed. I know that bad builds exist, but the way I tried to build is how I expect my class to be built and if I want to continue I have to play the meta as anything else just sucks and I just can’t recommend this game.",1776041299,1776043037,False,5,6,0.534302473068237305,False,0,True,False
223801866,english,"Fantastic system to play, very comfortable for a beginner with a large learning curve that makes the game (seemingly) fun for veterans.",1776804072,1776804072,True,0,0,0.5,False,0,True,False
223790214,english,"- Note: While I do recommend this game, there are many caveats.

- Pros: In my 34hrs that was basically only Act 1, was I slow per say? yes to an extent, however there is plenty of content on the starting Act to fill that time.

The characters are very interesting and the story is as well, far superior to BG3 in many ways regarding the player character and the intrigue of your companions as well as content you interact with.

The gear and ""classes"" in this game are very fun, but it will take a ton of trial and error to figure out the ""optimal"" way to go about your class, the combat is VERY different from BG3 and being able to just bonk really hard usually won't work.

- Cons: This game is really hard. Even on classic you will die ALOT. Trust me, do not rush, level up as much as possible, steal what you can (I didn't do that) and do as much side content as possible to level. SKILL BOOKS are EVERYTHING! Read them, buy them or steal them, you won't get skills/abilities from leveling up, they come from scrolls, books, items. While this makes the game more interesting, it also makes it super hard or a slog most of the time, if you thought the long fights in BG3 were bad, these are worse.

QoL Markers. The quests in the game don't really explain anything, you have to pay attention to what NPCs are saying and godforbid you look away or get side tracked and don't remember, you will wander for a long time around the quest markers that don't elaborate.

Other than that, I really like and dislike the game, if you're not into unforgiving CRPGs like this or Pillars, stay FAR away. If you are into getting your nads smacked for fun, then this will be great.",1776793414,1776793414,True,0,0,0.5,False,0,True,False
223759496,english,"Such an amazing game, it's a shame about the game randomly exiting/closing during battles though...
Apart from that it's one of my fave all timers! :)",1776759636,1776759636,True,0,0,0.5,False,0,True,False
223756344,english,"A great DnD esque game, it is a unique world with 6 main species types to play. Highly recommend playing the base characters for the story, but you can play custom characters (though you can play the story characters with character customization). It's combat system is quite unique and still holds up quite well to their other titles like Balder's Gate 3. I've yet to finish my first playthrough as I'm currently playing through with a friend, which is luckily quite easy to do with drop in/drop out multiplayer. The game is long, and on the higher difficulties, quite intense and can be frustrating. All the different enemies and attack types can make most engagements deadly, and the levels most the time are a hard cap and not a recommendation of a challenge. All-in-all, my favorite role-play fantasy that I've played that has nothing to do with Wizards of the Coast or being a physical TTRPG.",1776753957,1776753957,True,0,0,0.5,False,0,True,False
223751179,english,"Game is of the cats azz. It’s fun but janky combat sometimes and frustrating as a mof but there’s something in me that’s going to still leave it a recommendation. The talking lizard perhaps. The fire and poison perhaps. The boat and all that stuff. Hmm I like the wizard chick. It’s a great story. Great game. Thanks larian studios…even though I should have been at work, not my computer.",1776744793,1776744793,True,0,0,0.5,False,0,True,False
223726061,english,"If you enjoy turn-based games like Balder Gate, you'll like this game a lot! As always it's way better with friends!",1776713401,1776713401,True,0,0,0.5,False,0,True,False
223599167,english,You can sell the first chapter as a separate game and It would still feel as a complete and worthy experience.,1776581778,1776581778,True,0,0,0.5,False,0,True,False
223577207,english,"As a lover of BG3, this game is a great alternative. It took a little while to get used to the game play but it's still an excellent game.",1776555408,1776555408,True,0,0,0.5,False,0,True,False
223568435,english,"Steam is asking me to write a review, but honestly it's been years since I've played this game. All I know is that when I finally understood how combat worked, I absolutely loved it. And I enjoyed it way more than BG3. Absolutely zero memories about the story though, lol. But I'm installing it again now and maybe I'll edit this review to be more meaningful once I've played it again some time.",1776546369,1776546369,True,0,0,0.5,False,0,True,False
223532866,english,One of the most well-crafted games ever made. It’s easily the best single-player experience I’ve had in any game.,1776518875,1776518875,True,0,0,0.5,False,0,True,False
223447055,english,"Overall it was good, of course it was. But, some personal grudges: 

I much preferred the beginning of this game to the end. The end felt rushed and some story lines poorly written. I understand that this was one of the things they tried to correct with the definitive edition, so I imagine it was even more rushed before. I feel like the character’s perspectives on certain plot points change too unexpectedly. For example, the game goes from people not even knowing of the God King’s existence, to assuming its common knowledge. Other smaller plot points are done very oddly as well, and I feel like the game significantly falls off in writing quality in the final Act. It doesn’t take away from the overall lore, which is great, just some of the late game writing around things was poor. 

The whole gimmick of using source as a recourse to cast spells and abilities, was really just a way to waste time. Because in each act you can set up teleporter Pyramids where there is a source fountain, and have max Source for each fight. It just means a 2 minute excursion after every fight fidgeting around the source fountain, trying to get all my characters in the right place. 

Only being allowed to take 4 characters with you off Fort Joy is a cheap way to increase replayability. 

Some of the Level design, all throughout the game, was odd. I was rarely level matched with enemies. Either over or under levelled. There was certainly a place I could go to and where the enemies would be appropriately levelled, but I don’t know which direction I should go in for the optimal level matched route. I just went wherever felt most natural, which for me meant being underlevelled at the beginning of every act and overlevelled at the end. Except for the final act where I never got the level 20, despite doing every quest available. Which is odd because at times the game seems to presume that most players will only see one part of the game, and move on. That the average player will not try to see everything before moving on, but only do the things necessary to progress. In Fort Joy for example, even if you’ve already found an exit, you can still talk to people and ask them if they know a way out. In Reaper’s Coast, once you’ve got the 3 source points, you don’t get much from pursuing the other people, and the dialogue around that seems underdeveloped even. Which is strange considering it seems like you do need to do almost everything to be appropriately leveled. Also why wouldn’t you want to do as much as you can anyway? 

I felt like half way through the game I had basically every spell unlocked. 

It’s too easy to accidentally do the wrong thing in combat. 

Inventory management is a joke. 

Despite everything, it’s still very good. 
",1776433964,1776433964,True,0,0,0.5,False,0,True,False
223444354,english,I've played through this game multiple times on PS5 and am finally playing through it here on Steam; can't believe I've never reviewed this.  D:OS2 is easily my favorite game of all time.  I can't get enough of it and the new Divinity coming out eventually will be the only thing to surpass this.  Do yourself a favor and lock in for the greatest 100+ hours of your life.,1776431727,1776431727,True,0,0,0.5,False,0,True,False
223420645,english,"In comparison to bg3, the story / character development isn't as good, but the combat system is much more enjoyable. It is more complicated though and the in game does not teach you the systems quite as well as bg3, but if you spend the time to look up some builds and understand some of the systems, the gameplay is significantly more satisfying.",1776403448,1776403448,True,0,0,0.5,False,0,True,False
223392242,english,"The story is good and complex. Just like real choices, it comes with consequences. But if you play the first time like me, it takes a long time because there's much dialogue choices and action choices. Even the side quests is totally connected to the main quest. It's like ""You help someone from back then? Guess you can get the help from me.""",1776366544,1776366544,True,0,0,0.5,False,0,True,False
223362478,english,"solid game, a little overwhel,ing by all the options",1776333470,1776333470,True,0,0,0.5,False,0,True,False
223352148,english,"I have DRAMATICLY more hours than it says I do, as i played this on my laptop, and ROG ALLY with no internet access and offline does not track hours. 
This is one my favorite games of all time. Great starter CRPG in my opinion as well
If you liked baldurs gate 3, you'll like this game as well.",1776315275,1776315275,True,0,0,0.5,False,0,True,False
223297917,english,"Another Masterpiece by Larian
The devotion put into the story and game is admirable & nowadays I truly value developers who don't care about microtransactions or expasions, just focus on the game and story, the things that truly matter",1776247137,1776247137,True,0,0,0.5,False,0,True,False
223242183,english,"Needed a Larian Studios fix after beating baldurs gate 3, three times, and this surely did it. 

the mechanics are not as good as they're latest installment, but its light years ahead of everyone else.",1776173978,1776173978,True,0,0,0.5,False,0,True,False
