Model,CV_Accuracy_mean,CV_Accuracy_std,CV_F1_macro_mean,CV_F1_macro_std
LogisticRegression,0.8921,0.0047,0.8761,0.0058
NaiveBayes,0.8809,0.0044,0.8581,0.0058
LinearSVM,0.8935,0.0022,0.88,0.0025
